timeseries,supervised,analysis_tag,clf_name,tp,fp,fn,tn,mcc,acc,recall,test_time,test_time_per_item,dd_min,dd_max,dd_avg,fpr_min,fpr_max,fpr_avg,tpr_min,tpr_max,tpr_avg
False,True,test,DecisionTreeClassifier,1891,1419,2245,18445,0.4225294658138671,0.6928846329119249,0.45720502901353965,4,0.00016666666666666666,0,100,16.857142857142858,0.028498355864084765,0.17441193344807804,0.07778418046323086,0,1,0.875
False,True,test,GaussianNB,1705,1172,2431,18692,0.41071158568811117,0.6766164171686618,0.4122340425531915,8,0.0003333333333333333,0,412,82.4,0.0,0.23235800344234078,0.07008965321815055,0,1,0.625
False,True,test,LinearDiscriminantAnalysis,292,3,3844,19861,0.24147096193405476,0.5352242930846585,0.07059961315280464,1,4.1666666666666665e-05,0,460,247.75,0.0,0.0017211703958691911,0.0002151462994836489,0,1,0.5
False,True,test,RandomForestClassifier,1516,663,2620,19201,0.43793687513090634,0.6665803771253811,0.3665377176015474,33,0.001375,0,128,20.5,0.006211180124223602,0.13654618473895583,0.03869801856496361,1,1,1.0
False,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(ExtraTreeClassifier-20-0.8-None-3.0-0.7-None-1.0-20)),816,410,3320,19454,0.30302369089812414,0.5883258576112537,0.19729206963249515,410,0.017083333333333332,0,105,24.571428571428573,0.0034129692832764505,0.08204245553643144,0.023853519645634688,0,1,0.875
False,True,test,XGBClassifier,1835,811,2301,19053,0.4857571927588629,0.7014188746532514,0.44366537717601545,24,0.001,0,123,19.571428571428573,0.007390120575651498,0.16523235800344235,0.04727026444842941,0,1,0.875
False,True,test,DecisionTreeClassifier,1891,1419,2245,18445,0.4225294658138671,0.6928846329119249,0.45720502901353965,4,0.00016666666666666666,0,100,16.857142857142858,0.028498355864084765,0.17441193344807804,0.07778418046323086,0,1,0.875
False,True,test,GaussianNB,1705,1172,2431,18692,0.41071158568811117,0.6766164171686618,0.4122340425531915,7,0.0002916666666666667,0,412,82.4,0.0,0.23235800344234078,0.07008965321815055,0,1,0.625
False,True,test,LinearDiscriminantAnalysis,292,3,3844,19861,0.24147096193405476,0.5352242930846585,0.07059961315280464,0,0.0,0,460,247.75,0.0,0.0017211703958691911,0.0002151462994836489,0,1,0.5
False,True,test,RandomForestClassifier,1516,663,2620,19201,0.43793687513090634,0.6665803771253811,0.3665377176015474,35,0.0014583333333333334,0,128,20.5,0.006211180124223602,0.13654618473895583,0.03869801856496361,1,1,1.0
False,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(ExtraTreeClassifier-20-0.8-None-3.0-0.7-None-1.0-20)),816,410,3320,19454,0.30302369089812414,0.5883258576112537,0.19729206963249515,308,0.012833333333333334,0,105,24.571428571428573,0.0034129692832764505,0.08204245553643144,0.023853519645634688,0,1,0.875
False,True,test,XGBClassifier,1835,811,2301,19053,0.4857571927588629,0.7014188746532514,0.44366537717601545,24,0.001,0,123,19.571428571428573,0.007390120575651498,0.16523235800344235,0.04727026444842941,0,1,0.875
False,True,test,DecisionTreeClassifier,1891,1419,2245,18445,0.4225294658138671,0.6928846329119249,0.45720502901353965,4,0.00016666666666666666,0,100,16.857142857142858,0.028498355864084765,0.17441193344807804,0.07778418046323086,0,1,0.875
False,True,test,GaussianNB,1705,1172,2431,18692,0.41071158568811117,0.6766164171686618,0.4122340425531915,9,0.000375,0,412,82.4,0.0,0.23235800344234078,0.07008965321815055,0,1,0.625
False,True,test,LinearDiscriminantAnalysis,292,3,3844,19861,0.24147096193405476,0.5352242930846585,0.07059961315280464,1,4.1666666666666665e-05,0,460,247.75,0.0,0.0017211703958691911,0.0002151462994836489,0,1,0.5
False,True,test,RandomForestClassifier,1516,663,2620,19201,0.43793687513090634,0.6665803771253811,0.3665377176015474,36,0.0015,0,128,20.5,0.006211180124223602,0.13654618473895583,0.03869801856496361,1,1,1.0
False,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(ExtraTreeClassifier-20-0.8-None-3.0-0.7-None-1.0-20)),816,410,3320,19454,0.30302369089812414,0.5883258576112537,0.19729206963249515,359,0.014958333333333334,0,105,24.571428571428573,0.0034129692832764505,0.08204245553643144,0.023853519645634688,0,1,0.875
False,True,test,XGBClassifier,1835,811,2301,19053,0.4857571927588629,0.7014188746532514,0.44366537717601545,26,0.0010833333333333333,0,123,19.571428571428573,0.007390120575651498,0.16523235800344235,0.04727026444842941,0,1,0.875
False,False,test,MCD,2145,1838,1991,18026,0.4325318503156706,0.7130439113632274,0.5186170212765957,17,0.0007083333333333334,0,0,0.0,0.0,0.4291451520367183,0.11066138873112535,0,1,0.75
False,False,test,HBOS,1700,1553,2436,18311,0.36723496670179595,0.6664217549744451,0.41102514506769827,27,0.001125,0,1,0.42857142857142855,0.0,0.2989099254159495,0.09085171784694324,0,1,0.875
False,False,test,CBLOF,1695,1900,2441,17964,0.3324794532209247,0.6570829123533256,0.40981624758220503,30,0.00125,0,24,9.166666666666666,0.027615713730066122,0.30751577739529545,0.10779264034886117,0,1,0.75
False,False,test,IForest,1660,1724,2476,18140,0.341361839293183,0.6572818960030724,0.40135396518375244,34,0.0014166666666666668,0,0,0.0,0.002333722287047841,0.28284566838783703,0.09902868180063687,0,1,0.625
False,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(HBOS-10-0.8-None-3.0-0.7-None-1.0-10)),1822,1721,2314,18143,0.3767704983021196,0.6769415487598065,0.44052224371373305,1966,0.08191666666666667,0,1,0.2857142857142857,0.0,0.3413654618473896,0.1012163573956066,0,1,0.875
False,False,test,MCD,2145,1838,1991,18026,0.4325318503156706,0.7130439113632274,0.5186170212765957,13,0.0005416666666666666,0,0,0.0,0.0,0.4291451520367183,0.11066138873112535,0,1,0.75
False,False,test,HBOS,1700,1553,2436,18311,0.36723496670179595,0.6664217549744451,0.41102514506769827,14,0.0005833333333333334,0,1,0.42857142857142855,0.0,0.2989099254159495,0.09085171784694324,0,1,0.875
False,False,test,CBLOF,1695,1900,2441,17964,0.3324794532209247,0.6570829123533256,0.40981624758220503,19,0.0007916666666666666,0,24,9.166666666666666,0.027615713730066122,0.30751577739529545,0.10779264034886117,0,1,0.75
False,False,test,IForest,1660,1724,2476,18140,0.341361839293183,0.6572818960030724,0.40135396518375244,37,0.0015416666666666667,0,0,0.0,0.002333722287047841,0.28284566838783703,0.09902868180063687,0,1,0.625
False,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(HBOS-10-0.8-None-3.0-0.7-None-1.0-10)),1822,1721,2314,18143,0.3767704983021196,0.6769415487598065,0.44052224371373305,260,0.010833333333333334,0,1,0.2857142857142857,0.0,0.3413654618473896,0.1012163573956066,0,1,0.875
True,False,test,MCD,1152,2723,2984,17141,0.14518310653756103,0.5707239109893114,0.27852998065764023,67,0.0027916666666666667,0,23,8.666666666666666,0.052977712824260136,0.23006310958118187,0.14341236632108784,0,1,0.75
True,False,test,HBOS,666,2672,3470,17192,0.028934187609140447,0.5132552225539861,0.16102514506769827,61,0.0025416666666666665,0,11,4.333333333333333,0.0763609791742784,0.18101028999064547,0.13526381720294578,0,1,0.75
True,False,test,CBLOF,1632,2257,2504,17607,0.28796163772533434,0.6404807526771992,0.3945841392649903,68,0.0028333333333333335,0,20,7.714285714285714,0.044340723453908985,0.3614457831325301,0.12843157789050574,0,1,0.875
True,False,test,IForest,1403,2416,2733,17448,0.2246547071117006,0.6087947851969797,0.33921663442940037,34,0.0014166666666666668,0,23,10.125,0.05443916697113628,0.30120481927710846,0.13277693206000812,1,1,1.0
True,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(HBOS-10-0.8-None-3.0-0.7-None-1.0-10)),615,2187,3521,17677,0.04539220222077032,0.519297859876561,0.1486943907156673,717,0.029875,0,24,7.0,0.04493971501644136,0.1688493919550982,0.11121154318036652,0,1,0.75
True,True,test,DecisionTreeClassifier,1387,1478,2749,18386,0.3039516476348219,0.6304711009721036,0.33534816247582205,7,0.0002916666666666667,0,74,14.5,0.028393621159082068,0.2157200229489386,0.08174593429549216,1,1,1.0
True,True,test,GaussianNB,2171,4335,1965,15529,0.26055074870158823,0.6533346485307051,0.5249032882011605,51,0.002125,0,20,3.2857142857142856,0.12269476853594279,0.5639701663798049,0.23832287450514025,0,1,0.875
True,True,test,LinearDiscriminantAnalysis,267,4,3869,19860,0.2300240030173731,0.5321768782070108,0.06455512572533849,3,0.000125,125,460,334.3333333333333,0.0,0.0017211703958691911,0.000264455964177929,0,1,0.375
True,True,test,RandomForestClassifier,1023,489,3113,19375,0.3462082616062525,0.6113615136117085,0.2473404255319149,42,0.00175,0,103,24.714285714285715,0.0011668611435239206,0.168100975329891,0.031297116697944466,0,1,0.875
True,True,test,ConfidenceBoosting(ConfidenceBoosterWeighted(ExtraTreeClassifier-20-0.8-None-3.0-0.7-None-1.0-20)),802,304,3334,19560,0.3217171268506664,0.5893015445065127,0.19390715667311412,215,0.008958333333333334,0,121,32.857142857142854,0.00038895371450797355,0.09179575444635686,0.019341022337253263,0,1,0.875
True,True,test,XGBClassifier,1371,596,2765,19268,0.41508484780996213,0.6507378315680087,0.3314796905222437,25,0.0010416666666666667,0,108,16.571428571428573,0.0019447685725398677,0.17498565691336776,0.03695569393695195,0,1,0.875
